rho_0,alpha,device,,error_list
40.0,3.5,10CE,rmse,16.3
40.0,3.5,10CE,max,36.59
40.0,3.5,10CE,min,0.38
40.0,3.5,10CE,count,146.0
40.0,3.5,10CE,std,8.88
40.0,3.5,1210,mean,13.53
40.0,3.5,1210,median,11.58
40.0,3.5,1210,rmse,16.07
40.0,3.5,1210,max,32.66
40.0,3.5,1210,min,0.0
40.0,3.5,1210,count,143.0
40.0,3.5,1210,std,8.66
40.0,3.5,1211,mean,14.65
40.0,3.5,1211,median,11.0
40.0,3.5,1211,rmse,17.97
40.0,3.5,1211,max,40.86
40.0,3.5,1211,min,0.7
40.0,3.5,1211,count,136.0
40.0,3.5,1211,std,10.4
40.0,3.5,1212,mean,14.12
40.0,3.5,1212,median,12.99
40.0,3.5,1212,rmse,16.76
40.0,3.5,1212,max,32.81
40.0,3.5,1212,min,0.38
40.0,3.5,1212,count,141.0
40.0,3.5,1212,std,9.02
40.0,3.5,121D,mean,13.21
40.0,3.5,121D,median,11.56
40.0,3.5,121D,rmse,15.63
40.0,3.5,121D,max,33.68
40.0,3.5,121D,min,0.0
40.0,3.5,121D,count,147.0
40.0,3.5,121D,std,8.36
40.0,3.5,1F61,mean,13.73
40.0,3.5,1F61,median,10.99
40.0,3.5,1F61,rmse,16.86
40.0,3.5,1F61,max,36.81
40.0,3.5,1F61,min,0.7
40.0,3.5,1F61,count,144.0
40.0,3.5,1F61,std,9.8
40.0,3.5,2005,mean,13.49
40.0,3.5,2005,median,11.9
40.0,3.5,2005,rmse,16.01
40.0,3.5,2005,max,32.66
40.0,3.5,2005,min,0.1
40.0,3.5,2005,count,145.0
40.0,3.5,2005,std,8.62
40.0,3.5,2055,mean,13.49
40.0,3.5,2055,median,11.87
40.0,3.5,2055,rmse,15.92
40.0,3.5,2055,max,30.55
40.0,3.5,2055,min,0.0
40.0,3.5,2055,count,141.0
40.0,3.5,2055,std,8.46
40.0,3.75,1002,mean,12.82
40.0,3.75,1002,median,9.58
40.0,3.75,1002,rmse,16.11
40.0,3.75,1002,max,40.55
40.0,3.75,1002,min,0.38
40.0,3.75,1002,count,141.0
40.0,3.75,1002,std,9.75
40.0,3.75,104D,mean,10.51
40.0,3.75,104D,median,6.68
40.0,3.75,104D,rmse,13.77
40.0,3.75,104D,max,42.35
40.0,3.75,104D,min,0.0
40.0,3.75,104D,count,136.0
40.0,3.75,104D,std,8.89
40.0,3.75,10CE,mean,11.36
40.0,3.75,10CE,median,9.68
40.0,3.75,10CE,rmse,13.98
40.0,3.75,10CE,max,36.59
40.0,3.75,10CE,min,0.0
